rt,stimulus,response,trial_type,trial_index,plugin_version,time_elapsed,subj_code,success,question_order,task,correct_response,congruency,name,correct,slider_start,feedback_type,feedback,prev_feedback,prev_loss,prev_correct,prev_congruency,block_feedback_type,all_accuracy
574.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,321,2.1.0,409907,Mchoho,,,probe,f,congruent,horizontal_con_1,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
594.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,326,2.1.0,412001,Mchoho,,,probe,j,congruent,vertical_con_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
482.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,331,2.1.0,413898,Mchoho,,,probe,f,congruent,horizontal_con_1,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
713.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,336,2.1.0,416077,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
793.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,341,2.1.0,418286,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
509.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,346,2.1.0,420270,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
,<span style='font-size: 35px;'>jobb</span>,,html-keyboard-response,351,2.1.0,422792,Mchoho,,,probe,g,incongruent,horizontal_incon_1,0,,,,monetary_loss,1,1,incongruent,random_punishment_random,0.9258333333333332
607.0,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,356,2.1.0,424825,Mchoho,,,probe,n,incongruent,vertical_incon_1,1,,,,neutral,0,0,incongruent,random_punishment_random,0.9258333333333332
605.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,361,2.1.0,426763,Mchoho,,,probe,f,incongruent,horizontal_incon_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
460.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,366,2.1.0,428554,Mchoho,,,probe,j,congruent,vertical_con_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
767.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,371,2.1.0,430721,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
577.0,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,376,2.1.0,432751,Mchoho,,,probe,n,incongruent,vertical_incon_1,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
470.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,381,2.1.0,434587,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
450.0,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,386,2.1.0,436359,Mchoho,,,probe,n,congruent,vertical_con_1,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
428.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,391,2.1.0,438128,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
412.0,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,396,2.1.0,439949,Mchoho,,,probe,n,congruent,vertical_con_1,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
568.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,401,2.1.0,441824,Mchoho,,,probe,f,incongruent,horizontal_incon_2,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
797.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,406,2.1.0,444115,Mchoho,,,probe,j,congruent,vertical_con_2,1,,,,monetary_loss,1,1,incongruent,random_punishment_random,0.9258333333333332
670.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,411,2.1.0,446244,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
500.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,416,2.1.0,448230,Mchoho,,,probe,j,congruent,vertical_con_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
670.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,421,2.1.0,450237,Mchoho,,,probe,f,congruent,horizontal_con_1,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
476.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,426,2.1.0,452069,Mchoho,,,probe,j,congruent,vertical_con_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
666.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,431,2.1.0,454189,Mchoho,,,probe,f,incongruent,horizontal_incon_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
678.0,<span style='font-size: 35px;'>le</span>,n,html-keyboard-response,436,2.1.0,456236,Mchoho,,,probe,n,incongruent,vertical_incon_1,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
515.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,441,2.1.0,458145,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
799.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,446,2.1.0,460459,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,neutral,0,1,congruent,random_punishment_random,0.9258333333333332
804.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,451,2.1.0,462670,Mchoho,,,probe,g,incongruent,horizontal_incon_1,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
647.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,456,2.1.0,464711,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
766.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,461,2.1.0,466941,Mchoho,,,probe,f,incongruent,horizontal_incon_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
587.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,466,2.1.0,468892,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
664.0,<span style='font-size: 35px;'>jobb</span>,g,html-keyboard-response,471,2.1.0,470936,Mchoho,,,probe,g,congruent,horizontal_con_2,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
865.0,<span style='font-size: 35px;'>fel</span>,j,html-keyboard-response,476,2.1.0,473117,Mchoho,,,probe,j,incongruent,vertical_incon_2,1,,,,monetary_loss,1,1,congruent,random_punishment_random,0.9258333333333332
649.0,<span style='font-size: 35px;'>bal</span>,f,html-keyboard-response,481,2.1.0,475145,Mchoho,,,probe,f,congruent,horizontal_con_1,1,,,,neutral,0,1,incongruent,random_punishment_random,0.9258333333333332
